iter	Passed	Remaining
884	9323	1211
885	9334	1201
886	9343	1190
887	9354	1179
888	9362	1168
889	9371	1158
890	9380	1147
891	9390	1136
892	9398	1126
893	9407	1115
894	9417	1104
895	9427	1094
896	9434	1083
897	9440	1072
898	9448	1061
899	9453	1050
900	9463	1039
901	9473	1029
902	9482	1018
903	9491	1007
904	9498	997
905	9507	986
906	9517	975
907	9526	965
908	9534	954
909	9543	943
910	9553	933
911	9563	922
912	9573	912
913	9582	901
914	9591	891
915	9599	880
916	9607	869
917	9617	859
918	9628	848
919	9637	838
920	9648	827
921	9657	817
922	9665	806
923	9676	795
924	9687	785
925	9695	774
926	9703	764
927	9711	753
928	9721	742
929	9729	732
930	9738	721
931	9746	711
932	9756	700
933	9766	690
934	9776	679
935	9786	669
936	9795	658
937	9806	648
938	9815	637
939	9825	627
940	9834	616
941	9844	606
942	9854	595
943	9863	585
944	9874	574
945	9884	564
946	9892	553
947	9902	543
948	9913	532
949	9924	522
950	9934	511
951	9943	501
952	9952	490
953	9961	480
954	9971	469
955	9978	459
956	9988	448
957	9996	438
958	10003	427
959	10011	417
960	10020	406
961	10029	396
962	10038	385
963	10044	375
964	10052	364
965	10061	354
966	10070	343
967	10079	333
968	10089	322
969	10099	312
970	10109	301
971	10118	291
972	10128	281
973	10137	270
974	10147	260
975	10156	249
976	10166	239
977	10175	228
978	10182	218
979	10189	207
980	10197	197
981	10206	187
982	10215	176
983	10225	166
984	10234	155
985	10242	145
986	10250	135
987	10259	124
988	10267	114
989	10277	103
990	10285	93
991	10294	83
992	10302	72
993	10309	62
994	10317	51
995	10326	41
996	10333	31
997	10340	20
998	10349	10
999	10358	0
	675
958	15413	658
959	15424	642
960	15434	626
961	15448	610
962	15457	593
963	15467	577
964	15476	561
965	15485	545
966	15497	528
967	15509	512
968	15519	496
969	15529	480
970	15540	464
971	15552	448
972	15560	431
973	15566	415
974	15575	399
975	15587	383
976	15598	367
977	15607	351
978	15616	334
979	15624	318
980	15634	302
981	15642	286
982	15649	270
983	15654	254
984	15665	238
985	15674	222
986	15681	206
987	15687	190
988	15693	174
989	15701	158
990	15708	142
991	15716	126
992	15723	110
993	15732	94
994	15743	79
995	15751	63
996	15757	47
997	15763	31
998	15769	15
999	15775	0
